Item_ID,Creator_Credentials,Creator_Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,JAMA_Authorship,JAMA_Attribution,JAMA_Disclosure,JAMA_Currency,Notes
TT-01,None identified,General user,3,3,4,1,2,3,1,1,3,2,1,1,1,1,1,2,N,N,N,Y,Young male showing physique; caption "How to start working out"; no credentials; basic motivational content; calisthenics email in bio but no certifications
TT-02,DPT (Doctor of Physical Therapy),Healthcare professional,4,4,4,2,3,4,1,2,4,3,2,1,2,2,2,3,Y,N,N,Y,Sammy is a DPT and RYT (registered yoga teacher); provides structured gym/home routine advice; mentions safe approach; professional credentials visible in bio
TT-03,None identified,Fitness influencer,3,3,4,1,2,2,1,1,2,2,1,1,1,1,1,2,N,N,N,Y,Pierre Dalati; bio says "your online older brother"; fitness tips and self-improvement; no formal credentials; numbered tips format (showing "13"); general advice
TT-04,None identified,General user,3,3,4,1,2,3,1,1,3,2,1,1,1,1,1,2,N,N,N,Y,Same creator as TT-01 (RAIDER); beginner room workout; screenshot partially loaded; no credentials; basic workout demonstration
TT-05,None identified,Fitness influencer,4,4,4,1,3,3,1,1,4,3,1,1,2,2,1,3,N,N,N,Y,tonedwithcristina; detailed superset workout with specific reps/sets; good exercise structure; no formal credentials but knowledgeable content; fitness/food/fun in bio
TT-06,None identified,Fitness influencer,3,3,4,1,2,3,1,1,2,2,1,1,2,1,2,2,N,N,N,Y,Jelina; postpartum fitness content; beginner tips; lifestyle/fitness/beauty creator; no formal credentials; low engagement; general motivational advice
TT-07,None identified,Fitness influencer,4,4,4,1,3,3,2,1,4,3,1,1,2,2,2,3,N,N,N,Y,Justin Agustin; large following; promotes his fitness app; provides specific reps (10-15) and frequency (2-3x/week); mentions daily life activities; no formal certs but established fitness creator
TT-08,None identified,Fitness influencer,4,3,4,1,2,3,1,1,4,3,1,1,2,1,1,3,N,N,Y,Y,Lucy Healy; calisthenics beginner workout; Gymshark and GORNATION sponsor visible in bio; demonstrates bodyweight exercises; no formal credentials
TT-09,None identified,Fitness influencer,4,4,4,1,2,2,1,1,3,3,1,1,2,2,1,3,N,N,N,Y,Bar Benders Fitness (thebeardedbodybuilder); 5-day split blueprint for beginners; very high engagement (1.5M views); structured plan but somewhat aggressive for beginners; no formal credentials
TT-10,Personal Trainer / Fitness Coach,Certified fitness professional,5,4,5,1,2,4,1,1,4,3,1,1,2,3,2,3,Y,N,N,Y,Jordan Morgan; FITNESS COACH in bio with coaching/program links; very detailed workout with sets/reps; 9.2M views; excellent structure for beginners; warm-up mentioned; rest guidance included
TT-11,None identified (claims weight loss coach),Fitness influencer,3,3,4,1,2,2,1,1,3,3,1,1,2,2,1,2,N,N,N,Y,Women's Weight Loss Coach in display name; 4-day blueprint; claims results from weight training over cardio; no formal certifications visible; coaching offered but no cert abbreviations
TT-12,None identified,Fitness influencer,3,3,4,1,2,2,1,1,2,3,1,1,1,2,1,2,N,N,N,Y,NYA (naya.nx); ranking best cardio for fat loss; very high engagement (2.5M views); no credentials; IG handle in bio; general fitness content
