Item_ID,Creator_Credentials,Creator_Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,JAMA_Authorship,JAMA_Attribution,JAMA_Disclosure,JAMA_Currency,Notes
IG-01,None identified,General user,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Motivational carousel about starting exercise. No actual PA information or exercise descriptions. Text overlay quotes about feeling better with exercise.
IG-02,None identified,Certified fitness professional,4,3,4,1,1,3,2,1,3,2,1,1,2,3,2,3,N,N,N,Y,Provides specific beginner exercises (walks birddogs planks bridges dead bugs). Offers free jumpstart guide. Actionable tips but no sources cited. Caption truncated.
IG-03,None identified,Organization,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Yoga and fitness class promotion for New Year batch. No actual PA information. Service advertisement with WhatsApp number for joining.
IG-04,Personal Trainer,Certified fitness professional,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,Y,N,N,Y,Personal trainer advertising available slots. No exercise information provided. Pure service promotion with schedule and adaptive fitness mention.
IG-05,None identified,General user,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Personal cycling journey post day 1967. Purely motivational with hashtags. No PA information or guidance provided.
IG-06,None identified,Organization,3,3,3,1,1,3,1,1,2,2,2,2,2,1,1,2,N,N,N,Y,Greek language post about visceral fat and health risks of sedentary lifestyle. Mentions processed foods stress poor sleep and lack of exercise. Some health information but in Greek.
IG-07,None identified,General user,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Personal cycling journey post day 1949. Purely motivational. No PA information or exercise guidance. Same creator as IG-05.
IG-08,Personal Trainer,Certified fitness professional,3,3,4,1,1,3,1,1,3,2,1,1,2,2,2,2,Y,N,N,Y,Personal trainer and parent sharing beginner workout plan. Describes repeating simple workout 3 times to build confidence. Some practical exercise guidance in caption.
IG-09,None identified,Certified fitness professional,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,N,N,N,Y,Fitness class schedule promotion. Lists class types (core bootcamp) but no exercise information. Service advertisement with booking app details. PAYG pricing shown.
IG-10,None identified,Organization,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,N,N,N,Y,Greek language motivational post about fitness goals and personal choice. Mentions videos for exercise on their page. No specific PA information provided.
IG-11,None identified,Organization,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Purely motivational post about discipline and effort. Fitness Rx gym. No exercise information or PA guidance. Empowerment messaging only.
IG-12,None identified,Organization,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Client testimonial about gym environment. Fitness Rx. No PA information. Purely promotional highlighting positive gym culture.
IG-13,None identified,Organization,3,3,3,1,1,3,1,1,3,3,1,1,2,2,1,2,N,N,N,Y,Boston MedSpa post about GLP-1 treatments paired with movement. Mentions 20 min daily activity walking resistance training. Some evidence-based claims but no citations. Medical aesthetics business.
IG-14,None identified,Organization,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Motivational post about discomfort and growth. Fitness Rx gym. No actual PA information or exercise guidance.
IG-15,None identified,Organization,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Client testimonial about long-term gym commitment. Fitness Rx. No PA information. Purely motivational and promotional.
IG-16,None identified,Organization,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Client testimonial recommending gym. Fitness Rx. No PA information. Social proof marketing post.
IG-17,None identified,Organization,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Motivational post about building strength through early mornings and reps. Fitness Rx. No specific exercise information.
IG-18,None identified,Organization,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Client testimonial about waking up early to lift weights. Fitness Rx. No PA information. Motivational content only.
IG-19,None identified,Organization,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Weight loss testimonial (20+ pounds). Fitness Rx. No exercise information or methodology described. Results-focused marketing.
IG-20,None identified,Fitness influencer,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,N,N,N,Y,Smoothie diet promotion with link in bio. No actual PA information despite fitness hashtags. Diet product marketing.
IG-21,None identified,Organization,3,3,3,1,1,2,1,1,2,2,1,1,1,2,2,2,N,N,N,Y,Courage Fitness Durham promoting Quick Launch Program. Describes goal-setting session and 1:1 training structure. Some program detail but primarily a sales pitch.
IG-22,None identified,Organization,3,2,3,1,1,2,1,1,1,1,1,1,1,2,1,2,N,N,N,Y,Farrells Maple Grove criticizing box gyms and promoting their program. No specific exercise information. Marketing comparison approach.
IG-23,None identified,Organization,3,3,3,1,1,3,1,1,2,2,1,1,2,1,2,2,N,N,N,Y,Farrells Maple Grove. Mentions starting slow focusing on form building strength safely and proper nutrition. General encouragement but limited specific PA guidance.
IG-24,None identified,Organization,3,3,3,1,1,3,1,1,2,1,1,1,1,2,2,2,N,N,N,Y,Farrells Maple Grove. Inclusive messaging about all fitness levels. Mentions options and choosing your level. No specific exercises described.
IG-25,Physical Therapist,Healthcare professional,3,3,3,1,1,3,2,1,2,2,1,1,1,1,2,2,Y,N,N,Y,WorkFitME Mobile PT promoting Strong Foundations strength training workshop. Physical therapy practice. Expert instruction mentioned but details behind link.
IG-26,None identified,Organization,3,3,3,1,1,3,1,1,2,2,1,1,1,1,2,2,N,N,N,Y,FASED Fitness Club Radlett. Addresses common barriers to strength training. Promotes coached small group sessions. No specific exercises but acknowledges beginner concerns.
IG-27,None identified,Fitness influencer,4,3,4,1,1,3,1,1,3,3,1,1,2,2,1,3,N,N,N,Y,Weights and Glory post about resistance bands for rehabilitation. Mentions joint protection balance functional strength pain reduction. Clinically proven claims but no citations. Most informative IG post in this set.
