Item_ID,Creator_Credentials,Creator_Type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,JAMA_Authorship,JAMA_Attribution,JAMA_Disclosure,JAMA_Currency,Notes
YT-01,None identified,Fitness influencer,4,3,4,1,5,3,1,1,3,3,1,1,2,2,2,2,N,N,N,Y,ADHD-focused workout consistency advice. Hayley Honeyman - lifestyle/fitness creator. No credentials visible. Title clear but niche. No sources cited. 125K views.
YT-02,None identified,Fitness influencer,4,4,5,1,4,3,2,1,4,3,1,1,2,2,2,3,N,N,N,Y,Will Tennyson - popular fitness YouTuber. Beginner gym guide. Entertaining format. No formal credentials. No references. 1.9M views. Practical gym advice.
YT-03,None identified,Fitness influencer,5,4,5,2,4,4,2,2,4,3,2,1,2,3,2,3,N,N,N,Y,PictureFit - animated fitness education channel. 5 beginner gym mistakes. Uses some research references in animations. 4.1M views. Reasonably balanced.
YT-04,None identified,Organization,4,4,5,3,4,3,2,1,4,4,1,2,3,2,2,3,N,Y,N,Y,Insider Tech - media organization. What happens when you exercise regularly. Cites scientific concepts. 9.7M views. Educational/informational format.
YT-05,None identified,General user,4,3,4,1,4,3,2,1,3,3,1,1,2,2,2,2,N,N,N,Y,Practical Wisdom - Interesting Ideas. Animated explainer. No credentials. What happens when you start exercising. 8.8M views. General knowledge channel.
YT-06,None identified,Fitness influencer,4,3,4,1,4,3,1,1,3,3,1,1,2,2,2,2,N,N,N,Y,Trimmed channel. How to start exercising when unfit. Practical advice for beginners. No credentials visible. 193K views. No sources cited.
YT-07,None identified,Fitness influencer,4,4,5,1,4,2,1,1,4,3,1,1,2,2,1,3,N,N,N,Y,Meli - calisthenics workout. Beginner calisthenics. Practical demonstration. 6.7M views. No credentials. Workout-focused with limited health context.
YT-08,Celebrity trainer (unverified),Certified fitness professional,4,4,4,1,4,3,2,1,4,3,1,1,2,3,2,3,Y,N,N,Y,Magnus Method - celebrity trainer known for training actors. How to create workout plan. 800K views. Credentials implied by brand but not formally stated.
YT-09,None identified,General user,4,3,4,1,4,3,1,2,3,3,2,2,3,2,2,2,N,N,N,Y,Alicia Jones Healthy Living. Exercise after inactivity for over 50. Small channel 18K views. No formal credentials visible. Targets older adults.
YT-10,None identified,Organization,4,3,5,1,4,3,2,1,3,3,1,2,2,2,2,3,N,N,N,Y,The Infographics Show - large animation channel. What happens to body when exercising. 5.5M views. Entertainment/education. No specific health credentials.
YT-11,None identified,Fitness influencer,4,3,5,1,4,2,1,1,3,3,1,1,2,1,1,2,N,N,N,Y,Lilly Sabri - fitness influencer. Full body fat loss in 14 days no jumping. Clickbait title implies rapid results. 11.7M views. No credentials. Home workout guide.
YT-12,None identified,Fitness influencer,3,3,4,1,4,1,1,1,3,3,1,1,1,1,1,2,N,N,N,Y,FITNESS CIRCLE. Best exercises for hanging belly fat - lose 3 inches in 1 week. Highly misleading claims. 11.7M views. No credentials. Clickbait title.
YT-13,None identified,General user,3,3,4,1,4,2,1,1,3,3,1,1,1,1,1,2,N,N,N,Y,The Gainz Center. Most effective exercises for fast weight loss in 20 min. Exaggerated claims. 1.5M views. No credentials. No sources.
YT-14,Physical therapist (Jeff Cavaliere),Certified fitness professional,4,4,5,2,4,3,2,2,4,4,2,1,2,3,2,3,Y,N,N,Y,ATHLEAN-X - Jeff Cavaliere MSPT CSCS. Perfect workout to lose weight with sets and reps. 3.8M views. Credentials known from channel brand. Evidence-informed.
YT-15,None identified,Fitness influencer,3,3,4,1,4,1,1,1,3,3,1,1,1,1,1,2,N,N,N,Y,Adrian Bryant. Best workout to lose weight fast - lose 10 pounds in 3 days. Extreme clickbait. Unrealistic claims. 8.5M views. No credentials.
YT-16,None identified,Certified fitness professional,4,3,5,1,4,2,1,1,4,3,1,1,2,1,1,2,N,N,N,Y,THENX - Chris Heria. 10 min fat burning workout no equipment. Calisthenics focus. 7.2M views. Certified trainer implied but not clearly stated in description.
